TransactionID,Amount,TransactionType,TimeOfDay,IsInternational,DeviceType,UserTenureMonths,NumPastFrauds,LocationRiskScore,IsFraud
1,46.93,cash_withdrawal,afternoon,0,mobile,88,1,10.52,0
2,301.01,transfer,morning,1,mobile,22,0,67.2,0
3,131.67,cash_withdrawal,afternoon,0,mobile,66,0,63.54,0
4,91.29,cash_withdrawal,night,0,mobile,44,0,80.58,0
5,16.96,purchase,morning,0,desktop,6,0,82.52,0
6,16.96,purchase,afternoon,0,desktop,42,0,86.82,0
7,5.98,cash_withdrawal,afternoon,0,desktop,25,0,41.41,0
8,201.12,purchase,afternoon,0,desktop,119,0,69.79,0
9,91.91,transfer,morning,0,mobile,57,0,26.83,0
10,123.13,transfer,night,0,mobile,85,0,99.93,0
11,2.08,purchase,afternoon,0,mobile,55,0,17.53,0
12,350.36,transfer,afternoon,0,mobile,16,2,1.01,0
13,178.64,purchase,afternoon,1,mobile,95,0,14.88,0
14,23.87,cash_withdrawal,afternoon,0,unknown,14,0,77.59,0
15,20.07,cash_withdrawal,afternoon,0,mobile,39,0,44.68,0
16,20.26,transfer,night,0,mobile,28,0,44.75,0
17,36.28,purchase,night,0,mobile,96,0,95.5,0
18,74.39,purchase,afternoon,0,desktop,92,0,91.96,0
19,56.55,transfer,morning,0,desktop,51,1,31.12,0
20,34.42,cash_withdrawal,night,1,mobile,119,0,20.91,0
21,94.64,transfer,morning,0,mobile,49,1,84.85,0
22,15.02,cash_withdrawal,night,0,desktop,9,0,90.6,0
23,34.55,purchase,afternoon,0,mobile,58,0,54.16,0
24,45.63,cash_withdrawal,night,0,mobile,45,0,62.94,0
25,60.89,transfer,afternoon,0,desktop,22,1,25.69,0
26,153.79,purchase,night,0,desktop,32,0,80.08,0
27,22.27,transfer,afternoon,1,mobile,69,0,63.21,0
28,72.2,transfer,afternoon,0,desktop,87,0,50.35,0
29,89.75,cash_withdrawal,afternoon,0,desktop,69,2,6.01,0
30,4.76,transfer,afternoon,0,mobile,42,0,91.59,0
31,93.53,cash_withdrawal,morning,1,unknown,53,0,61.55,0
32,18.7,purchase,afternoon,0,desktop,96,1,19.27,0
33,6.73,cash_withdrawal,morning,0,desktop,59,0,60.64,0
34,297.37,purchase,morning,0,desktop,74,0,67.75,0
35,337.06,cash_withdrawal,afternoon,0,mobile,39,0,52.58,0
36,165.23,transfer,morning,0,mobile,15,0,71.81,0
37,36.33,cash_withdrawal,night,0,mobile,71,0,58.15,0
38,10.28,cash_withdrawal,afternoon,0,mobile,29,0,94.78,0
39,115.28,purchase,morning,1,mobile,111,0,5.37,0
40,58.01,transfer,afternoon,0,desktop,3,0,10.62,0
41,13.02,cash_withdrawal,afternoon,0,desktop,83,1,17.37,0
42,68.35,transfer,afternoon,0,desktop,10,0,69.02,0
43,3.5,cash_withdrawal,morning,0,desktop,92,1,64.56,0
44,240.04,cash_withdrawal,night,0,desktop,29,1,89.21,0
45,29.95,transfer,night,0,mobile,79,0,73.29,0
46,108.63,cash_withdrawal,morning,0,mobile,35,1,50.84,0
47,37.35,transfer,afternoon,0,mobile,6,0,99.18,0
48,73.41,cash_withdrawal,morning,0,desktop,12,0,26.61,0
49,79.12,purchase,morning,0,mobile,111,0,83.32,0
50,20.44,transfer,morning,1,desktop,38,1,42.68,0
51,349.28,cash_withdrawal,afternoon,0,mobile,77,3,64.87,0
52,149.22,cash_withdrawal,morning,0,desktop,93,0,72.73,0
53,280.51,purchase,afternoon,0,desktop,19,0,63.38,0
54,225.22,transfer,morning,0,desktop,67,0,14.05,0
55,91.11,cash_withdrawal,night,0,unknown,8,1,44.3,0
56,254.94,purchase,morning,0,desktop,8,0,56.14,0
57,9.27,cash_withdrawal,morning,0,unknown,119,0,84.9,0
58,21.81,transfer,night,0,unknown,84,0,44.36,0
59,4.63,cash_withdrawal,afternoon,0,desktop,47,0,91.87,0
60,39.35,cash_withdrawal,afternoon,0,desktop,4,0,44.04,0
61,49.21,cash_withdrawal,morning,0,mobile,51,1,54.88,0
62,31.66,cash_withdrawal,night,0,mobile,85,1,79.63,0
63,176.46,purchase,afternoon,0,mobile,67,0,58.31,0
64,44.12,purchase,morning,0,mobile,45,0,96.02,0
65,32.98,transfer,night,0,mobile,8,0,66.03,0
66,78.24,purchase,afternoon,1,unknown,87,0,52.27,0
67,15.19,purchase,afternoon,0,desktop,16,0,2.36,0
68,162.05,transfer,night,1,desktop,77,0,41.37,0
69,7.75,purchase,night,0,mobile,67,0,29.92,0
70,433.41,purchase,night,0,mobile,112,0,74.81,0
71,147.95,transfer,night,0,mobile,9,1,20.83,0
72,22.15,transfer,morning,0,mobile,60,0,20.52,0
73,0.55,transfer,night,1,mobile,78,1,18.95,0
